"Date","Time","Test Total Time",,
03/05/15,16:35:38,(hh:mm:ss): 9:17:10,,
,,,,
"Rated Capacity","Tested Capacity",,,
5.00 Ah,4.64 Ah,,,
,,,,
"Cells","Battery Type","Battery Weight",,
2,Li-ion,1.000 kg,,
,,,,
Internal Resistance,,,,
1.88,,,,
,,,,
"Test Current","Graph Type",,,
0.500 Amps,AmpHrs,,,
,,,,
"Test","Time","Voltage","Current","Temp (C)"
"Artoo pack 4 cell .5amp discharge",183,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",184,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",185,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",186,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",187,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",188,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",189,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",190,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",191,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",192,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",193,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",194,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",195,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",196,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",197,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",198,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",199,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",200,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",201,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",202,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",203,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",204,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",205,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",206,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",207,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",208,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",209,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",210,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",211,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",212,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",213,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",214,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",215,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",216,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",217,7.94,0.498,0.00
"Artoo pack 4 cell .5amp discharge",218,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",219,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",220,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",221,7.94,0.498,0.00
"Artoo pack 4 cell .5amp discharge",222,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",223,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",224,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",225,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",226,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",227,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",228,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",229,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",230,7.94,0.498,0.00
"Artoo pack 4 cell .5amp discharge",231,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",232,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",233,7.94,0.501,0.00
