Test,Time,Voltage,Current,Temp (C)
2S1P 122mA discharge,283,8.09,0.122,0
2S1P 122mA discharge,284,8.09,0.12,0
2S1P 122mA discharge,285,8.1,0.122,0
2S1P 122mA discharge,286,8.09,0.122,0
2S1P 122mA discharge,287,8.09,0.124,0
2S1P 122mA discharge,288,8.09,0.122,0
2S1P 122mA discharge,289,8.09,0.12,0
2S1P 122mA discharge,290,8.09,0.122,0
2S1P 122mA discharge,291,8.09,0.122,0
2S1P 122mA discharge,292,8.09,0.124,0
2S1P 122mA discharge,293,8.09,0.124,0
2S1P 122mA discharge,294,8.09,0.12,0
2S1P 122mA discharge,295,8.1,0.122,0
2S1P 122mA discharge,296,8.1,0.124,0
2S1P 122mA discharge,297,8.09,0.122,0
2S1P 122mA discharge,298,8.09,0.122,0
2S1P 122mA discharge,299,8.09,0.12,0
2S1P 122mA discharge,300,8.09,0.122,0
2S1P 122mA discharge,301,8.09,0.122,0
2S1P 122mA discharge,302,8.09,0.124,0
2S1P 122mA discharge,303,8.09,0.122,0
2S1P 122mA discharge,304,8.09,0.12,0
2S1P 122mA discharge,305,8.09,0.122,0
2S1P 122mA discharge,306,8.09,0.122,0
2S1P 122mA discharge,307,8.09,0.124,0
2S1P 122mA discharge,308,8.09,0.122,0
2S1P 122mA discharge,309,8.09,0.12,0
2S1P 122mA discharge,310,8.09,0.124,0
2S1P 122mA discharge,311,8.09,0.122,0
2S1P 122mA discharge,312,8.09,0.122,0
2S1P 122mA discharge,313,8.09,0.122,0
2S1P 122mA discharge,314,8.09,0.122,0
2S1P 122mA discharge,315,8.09,0.12,0
2S1P 122mA discharge,316,8.09,0.122,0
2S1P 122mA discharge,317,8.09,0.122,0
2S1P 122mA discharge,318,8.09,0.122,0
2S1P 122mA discharge,319,8.09,0.122,0
2S1P 122mA discharge,320,8.09,0.12,0
2S1P 122mA discharge,321,8.09,0.124,0
2S1P 122mA discharge,322,8.09,0.122,0
2S1P 122mA discharge,323,8.09,0.122,0
2S1P 122mA discharge,324,8.09,0.122,0
2S1P 122mA discharge,325,8.09,0.124,0
2S1P 122mA discharge,326,8.09,0.12,0
2S1P 122mA discharge,327,8.09,0.122,0
2S1P 122mA discharge,328,8.09,0.122,0
2S1P 122mA discharge,329,8.09,0.122,0
2S1P 122mA discharge,330,8.09,0.12,0
2S1P 122mA discharge,331,8.09,0.124,0
2S1P 122mA discharge,332,8.09,0.122,0
2S1P 122mA discharge,333,8.09,0.122,0
2S1P 122mA discharge,334,8.09,0.122,0
2S1P 122mA discharge,335,8.09,0.122,0
2S1P 122mA discharge,336,8.09,0.124,0
2S1P 122mA discharge,337,8.09,0.122,0
2S1P 122mA discharge,338,8.09,0.122,0
2S1P 122mA discharge,339,8.09,0.122,0
2S1P 122mA discharge,340,8.09,0.124,0
2S1P 122mA discharge,341,8.09,0.12,0
2S1P 122mA discharge,342,8.09,0.122,0
2S1P 122mA discharge,343,8.09,0.122,0
2S1P 122mA discharge,344,8.09,0.122,0
2S1P 122mA discharge,345,8.09,0.12,0
2S1P 122mA discharge,346,8.09,0.124,0
2S1P 122mA discharge,347,8.09,0.122,0
2S1P 122mA discharge,348,8.09,0.122,0
2S1P 122mA discharge,349,8.09,0.122,0
2S1P 122mA discharge,350,8.09,0.122,0
2S1P 122mA discharge,351,8.09,0.122,0
2S1P 122mA discharge,352,8.09,0.122,0
2S1P 122mA discharge,353,8.09,0.122,0
2S1P 122mA discharge,354,8.09,0.122,0
2S1P 122mA discharge,355,8.09,0.124,0
2S1P 122mA discharge,356,8.09,0.122,0
2S1P 122mA discharge,357,8.09,0.122,0
2S1P 122mA discharge,358,8.09,0.122,0
2S1P 122mA discharge,359,8.09,0.122,0
2S1P 122mA discharge,360,8.09,0.12,0
2S1P 122mA discharge,361,8.09,0.124,0
2S1P 122mA discharge,362,8.09,0.122,0
2S1P 122mA discharge,363,8.09,0.122,0
2S1P 122mA discharge,364,8.09,0.122,0
2S1P 122mA discharge,365,8.09,0.122,0
2S1P 122mA discharge,366,8.09,0.124,0
2S1P 122mA discharge,367,8.09,0.122,0
2S1P 122mA discharge,368,8.09,0.122,0
2S1P 122mA discharge,369,8.09,0.122,0
2S1P 122mA discharge,370,8.09,0.124,0
2S1P 122mA discharge,371,8.09,0.12,0
2S1P 122mA discharge,372,8.09,0.122,0
2S1P 122mA discharge,373,8.09,0.122,0
2S1P 122mA discharge,374,8.09,0.122,0
2S1P 122mA discharge,375,8.09,0.12,0
2S1P 122mA discharge,376,8.09,0.12,0
2S1P 122mA discharge,377,8.09,0.122,0
2S1P 122mA discharge,378,8.09,0.122,0
2S1P 122mA discharge,379,8.09,0.122,0
2S1P 122mA discharge,380,8.09,0.122,0
2S1P 122mA discharge,381,8.09,0.122,0
2S1P 122mA discharge,382,8.09,0.122,0
2S1P 122mA discharge,383,8.09,0.122,0
2S1P 122mA discharge,384,8.09,0.124,0
2S1P 122mA discharge,385,8.09,0.124,0
2S1P 122mA discharge,386,8.09,0.12,0
2S1P 122mA discharge,387,8.09,0.122,0
2S1P 122mA discharge,388,8.09,0.122,0
2S1P 122mA discharge,389,8.09,0.122,0
2S1P 122mA discharge,390,8.09,0.122,0
2S1P 122mA discharge,391,8.09,0.12,0
2S1P 122mA discharge,392,8.09,0.122,0
2S1P 122mA discharge,393,8.09,0.122,0
2S1P 122mA discharge,394,8.09,0.122,0
2S1P 122mA discharge,395,8.09,0.122,0
2S1P 122mA discharge,396,8.09,0.124,0
2S1P 122mA discharge,397,8.09,0.122,0
2S1P 122mA discharge,398,8.09,0.122,0
2S1P 122mA discharge,399,8.09,0.124,0
2S1P 122mA discharge,400,8.09,0.124,0
2S1P 122mA discharge,401,8.09,0.122,0
2S1P 122mA discharge,402,8.09,0.12,0
2S1P 122mA discharge,403,8.09,0.122,0
2S1P 122mA discharge,404,8.09,0.122,0
2S1P 122mA discharge,405,8.09,0.124,0
2S1P 122mA discharge,406,8.09,0.122,0
2S1P 122mA discharge,407,8.09,0.12,0
