"Date","Time","Test Total Time",,
02/18/15,15:25:16,(hh:mm:ss): 5:01:56,,
,,,,
"Rated Capacity","Tested Capacity",,,
1.00 Ah,2.52 Ah,,,
,,,,
"Cells","Battery Type","Battery Weight",,
2,Li-ion,1.000 kg,,
,,,,
Internal Resistance,,,,
1.92,,,,
,,,,
"Test Current","Graph Type",,,
0.500 Amps,AmpHrs,,,
,,,,
"Test","Time","Voltage","Current","Temp (C)"
"Artoo pack 2 cell .5amp discharge",219,8.00,0.501,21.27
"Artoo pack 2 cell .5amp discharge",220,8.00,0.499,21.27
"Artoo pack 2 cell .5amp discharge",221,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",222,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",223,8.00,0.499,21.27
"Artoo pack 2 cell .5amp discharge",224,8.00,0.499,21.27
"Artoo pack 2 cell .5amp discharge",225,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",226,8.00,0.499,21.28
"Artoo pack 2 cell .5amp discharge",227,8.00,0.499,21.28
"Artoo pack 2 cell .5amp discharge",228,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",229,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",230,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",231,8.00,0.499,21.28
"Artoo pack 2 cell .5amp discharge",232,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",233,8.00,0.499,21.28
"Artoo pack 2 cell .5amp discharge",234,8.00,0.501,21.27
"Artoo pack 2 cell .5amp discharge",235,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",236,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",237,8.00,0.498,21.28
"Artoo pack 2 cell .5amp discharge",238,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",239,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",240,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",241,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",242,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",243,8.00,0.498,21.28
"Artoo pack 2 cell .5amp discharge",244,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",245,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",246,8.00,0.499,21.28
"Artoo pack 2 cell .5amp discharge",247,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",248,8.00,0.501,21.29
"Artoo pack 2 cell .5amp discharge",249,8.00,0.499,21.28
"Artoo pack 2 cell .5amp discharge",250,8.00,0.499,21.28
"Artoo pack 2 cell .5amp discharge",251,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",252,8.00,0.501,21.29
"Artoo pack 2 cell .5amp discharge",253,8.00,0.499,21.29
"Artoo pack 2 cell .5amp discharge",254,8.00,0.501,21.29
"Artoo pack 2 cell .5amp discharge",255,8.00,0.501,21.29
"Artoo pack 2 cell .5amp discharge",256,8.00,0.499,21.28
"Artoo pack 2 cell .5amp discharge",257,8.00,0.499,21.28
"Artoo pack 2 cell .5amp discharge",258,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",259,8.00,0.501,21.27
"Artoo pack 2 cell .5amp discharge",260,8.00,0.499,21.28
"Artoo pack 2 cell .5amp discharge",261,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",262,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",263,8.00,0.498,21.28
"Artoo pack 2 cell .5amp discharge",264,8.00,0.501,21.29
"Artoo pack 2 cell .5amp discharge",265,8.00,0.501,21.29
"Artoo pack 2 cell .5amp discharge",266,8.00,0.501,21.29
"Artoo pack 2 cell .5amp discharge",267,8.00,0.499,21.30
"Artoo pack 2 cell .5amp discharge",268,8.00,0.501,21.30
"Artoo pack 2 cell .5amp discharge",269,8.00,0.498,21.30
"Artoo pack 2 cell .5amp discharge",270,8.00,0.501,21.30
"Artoo pack 2 cell .5amp discharge",271,8.00,0.501,21.30
"Artoo pack 2 cell .5amp discharge",272,8.00,0.501,21.30
"Artoo pack 2 cell .5amp discharge",273,8.00,0.499,21.29
"Artoo pack 2 cell .5amp discharge",274,8.00,0.499,21.30
"Artoo pack 2 cell .5amp discharge",275,8.00,0.501,21.30
"Artoo pack 2 cell .5amp discharge",276,7.99,0.499,21.30
"Artoo pack 2 cell .5amp discharge",277,7.99,0.499,21.30
"Artoo pack 2 cell .5amp discharge",278,8.00,0.501,21.30
"Artoo pack 2 cell .5amp discharge",279,8.00,0.501,21.31
"Artoo pack 2 cell .5amp discharge",280,7.99,0.501,21.31
"Artoo pack 2 cell .5amp discharge",281,7.99,0.498,21.31
"Artoo pack 2 cell .5amp discharge",282,7.99,0.501,21.31
"Artoo pack 2 cell .5amp discharge",283,7.99,0.501,21.31
"Artoo pack 2 cell .5amp discharge",284,7.99,0.499,21.31
"Artoo pack 2 cell .5amp discharge",285,7.99,0.499,21.31
"Artoo pack 2 cell .5amp discharge",286,7.99,0.501,21.32
"Artoo pack 2 cell .5amp discharge",287,7.99,0.501,21.32
"Artoo pack 2 cell .5amp discharge",288,7.99,0.498,21.32
"Artoo pack 2 cell .5amp discharge",289,7.99,0.501,21.32
"Artoo pack 2 cell .5amp discharge",290,7.99,0.499,21.32
"Artoo pack 2 cell .5amp discharge",291,7.99,0.499,21.32
"Artoo pack 2 cell .5amp discharge",292,7.99,0.501,21.33
"Artoo pack 2 cell .5amp discharge",293,7.99,0.501,21.33
"Artoo pack 2 cell .5amp discharge",294,7.99,0.499,21.32
"Artoo pack 2 cell .5amp discharge",295,7.99,0.499,21.33
"Artoo pack 2 cell .5amp discharge",296,7.99,0.501,21.33
"Artoo pack 2 cell .5amp discharge",297,7.99,0.499,21.33
"Artoo pack 2 cell .5amp discharge",298,7.99,0.499,21.33
"Artoo pack 2 cell .5amp discharge",299,7.99,0.501,21.33
"Artoo pack 2 cell .5amp discharge",300,7.99,0.501,21.33
"Artoo pack 2 cell .5amp discharge",301,7.99,0.501,21.33
"Artoo pack 2 cell .5amp discharge",302,7.99,0.498,21.33
"Artoo pack 2 cell .5amp discharge",303,7.99,0.501,21.34
"Artoo pack 2 cell .5amp discharge",304,7.99,0.501,21.34
"Artoo pack 2 cell .5amp discharge",305,7.99,0.499,21.34
"Artoo pack 2 cell .5amp discharge",306,7.99,0.501,21.34
"Artoo pack 2 cell .5amp discharge",307,7.99,0.501,21.34
"Artoo pack 2 cell .5amp discharge",308,7.99,0.499,21.34
"Artoo pack 2 cell .5amp discharge",309,7.99,0.499,21.34
"Artoo pack 2 cell .5amp discharge",310,7.99,0.501,21.34
"Artoo pack 2 cell .5amp discharge",311,7.99,0.499,21.34
"Artoo pack 2 cell .5amp discharge",312,7.99,0.499,21.35
"Artoo pack 2 cell .5amp discharge",313,7.99,0.501,21.35
"Artoo pack 2 cell .5amp discharge",314,7.99,0.501,21.35
"Artoo pack 2 cell .5amp discharge",315,7.99,0.499,21.34
"Artoo pack 2 cell .5amp discharge",316,7.99,0.501,21.34
"Artoo pack 2 cell .5amp discharge",317,7.99,0.501,21.35
"Artoo pack 2 cell .5amp discharge",318,7.99,0.501,21.35
"Artoo pack 2 cell .5amp discharge",319,7.99,0.501,21.36
"Artoo pack 2 cell .5amp discharge",320,7.99,0.501,21.35
"Artoo pack 2 cell .5amp discharge",321,7.99,0.498,21.35
